epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1201.62,1.22739,0.76645,1.61851,0.91586,0.92185,0.96402,0.59046,1.44498,0.65295,1.93275,0.006832,0.006832,0.006832
66,1220.16,1.19704,0.74412,1.59943,0.92059,0.94398,0.96865,0.59389,1.44063,0.62183,1.91457,0.0067825,0.0067825,0.0067825
67,1238.63,1.20653,0.74933,1.60519,0.93705,0.92129,0.96511,0.58786,1.44135,0.67127,1.92827,0.006733,0.006733,0.006733
68,1257.05,1.20587,0.73789,1.59179,0.90264,0.93622,0.96677,0.60518,1.39422,0.62782,1.83813,0.0066835,0.0066835,0.0066835
69,1275.43,1.20874,0.74185,1.59485,0.91532,0.9507,0.9697,0.61546,1.41227,0.63664,1.88236,0.006634,0.006634,0.006634
70,1293.73,1.18764,0.72268,1.56897,0.91926,0.9316,0.97035,0.60967,1.39622,0.64401,1.8531,0.0065845,0.0065845,0.0065845
71,1311.84,1.18426,0.71454,1.58338,0.91446,0.94022,0.97285,0.61423,1.37683,0.62771,1.82634,0.006535,0.006535,0.006535
72,1330.08,1.17735,0.71614,1.56793,0.91799,0.91149,0.96052,0.59954,1.37341,0.64781,1.83984,0.0064855,0.0064855,0.0064855
73,1348.41,1.18927,0.72269,1.57938,0.91497,0.92508,0.96199,0.6085,1.39335,0.63779,1.85264,0.006436,0.006436,0.006436
74,1366.72,1.17265,0.71913,1.56925,0.94237,0.90554,0.96684,0.59475,1.39454,0.64257,1.8662,0.0063865,0.0063865,0.0063865
75,1384.89,1.17209,0.69054,1.5472,0.93101,0.93811,0.97561,0.61937,1.41502,0.61805,1.87674,0.006337,0.006337,0.006337
76,1403.1,1.15275,0.69435,1.54027,0.93786,0.90879,0.96729,0.61467,1.40522,0.64263,1.86284,0.0062875,0.0062875,0.0062875
77,1421.28,1.14834,0.69071,1.54283,0.96216,0.91097,0.97361,0.61613,1.37467,0.61101,1.84693,0.006238,0.006238,0.006238
